Text,H1,H2,H4,H5,H6,H7,H9,H10,polarity
“زائر”. لم يعجبني غير ترتيب ونظافة الفندق. خاب ظني بالفندق الاستقبال سيئ والغرف صغيره جدا و ضيقه حجزي بالموقع مع طفل واتفاجا انه مافي سرير اطفال ولا غير متوفر حتى مخدات ولا بطانيات اجبرت اشتري من برا غير الاززززعااااج اللي برا الغرفه لايوجد عوازل صوت كانك نايم بالممر حق الفندق اجبرت استاجر بفندق ثاني عشان انام تخيلو,0,0,0,0,1,1,1,1,negative
التطبيق غير قابل للفتح كل ما أثبته يعطيني عليك تحديث التطبيق ولما ارجع عالمتجر ما الاقي أي تحديث جديد,0,0,0,0,1,0,1,1,negative
نظام سيء جداً تأخير في توصيل الطعام وتأخير في كل شيء ويوصل الأكل باااارد,1,0,0,1,0,0,1,0,negative
“لا انصح به ابدا”. على اطلالة و الافطار جيد. السجاد غير نظيف ويلتزق في الرجل  والتكييف سيئ جدا بسبب التكييف لم استطع النوم في الغرفة وعمال النظافة لا يأدون عملهم جيدا فقط يبدلون مناشف الاستحمام وعدم ازالة الاوساخ على الممرات لساعات طويلة,0,0,1,0,1,1,0,1,negative
“سيء جداً”. . الاستقبال والتعامل، النظافه، الكذب بخصوص اسعار سيارات الاجره من الفندق,1,0,0,0,0,0,1,1,negative
جيد. المسبح المناطق الترفيهية. ضعف الانترنت تأخير الاستقبال,0,0,0,1,0,0,0,0,negative
مخيب للأمل. نظافه البحر. طاقم المسبح النسائي سيئه من حيث الاسلوب والتعامل,0,0,0,1,0,0,1,0,negative
"مخيب للأمل. . الخدمة سيئة جداً جداً نطلب من موظفي الاإستقبال خدمة تنظيف الغرف ولا حياة لمن تنادي , نرجع الغرف نلاقيها ما أتنظفت والسعر مبالغ فيه",0,0,0,0,1,0,1,1,negative
“جيد ولكن”. تعدد الخدمات في المسبح والمطعم. السرير الثنائي ضيق والغرف ضيقة جدا والمرتبة غير مريحة,0,0,0,0,1,0,1,1,negative
ضعيف جداً. انه قريب للحرم الشريف. الصور اللي هنا مش للفرع هذا اللي جنب الحرم لفرع اخر لهم + واوسخ الغرف طلعت بعكس الصور + النت مايوصل للغرفه + ماوفروا لي غلايه ماء زي ماهو مكتوب هنا,0,0,0,1,1,1,1,0,negative
برنامج فاشل ما في مصداقية,0,1,0,1,0,0,0,0,negative
“unpleasant stay”. لا شيئ يذكر. التوصيل للحرم سيئ جدا، افضل ان الفندق لايذكر ان لديه باص.الغرف ضيقه لايوجد سرير للطفل رغم الطلب المسبق. امكانيات محدوده جدا بالغرف و بالحمام. سمعت ان هناك واي فاي بالفندق لكن موظفوا الاستقبالالغير جيدين لم يبلغونا بذلك,0,0,1,0,1,1,0,1,negative
“فندق يصلح في البطحاء”. موظف الاستقبال البنجلاديشي والشاب السعودي مميزين جداً. المطعم سيء جداً,1,0,0,0,0,0,1,1,negative
“ضعيف ضعيف ضعيف جداً”. لم يعجبني سواء الموقع فقط الذي من المفترض تكون الخدمات بحجم الموقع. الاستقبال زقت زفت رفت العاملين لايحترمون اي زبون يعاملونهم وكانهم زبائن جائو لسكن الفندق لاجل الهواء حسب ماهو واضح خارج وداخل الفندق وجود الكثير من بائعات الهواء وصيدهم للشباب للاسف مع وجود عائلات واطفال داخل الفندق بالنسبة لي اول مرة واخر مرة حجزت ولم اعرف حجزت لاجل الموقع وقربة من المترو ولهملي القريب من الموقع ثانياً النظافة والحمامات والمفارش والبلكونة والاسرة والخزائن وسخة جداً اقول هذا الكلام بحكم خبرتي وسفري للعديد من فنادق وبلادان العالم انصح بعدم الحجز فية إلا إذا عدل من خدماتة وشكراً,0,0,1,0,1,1,0,1,negative
“تقييم منتجع ينبع آراك”. لم يعجبني شيء إلا المطعم. الأثاث سيء جدا وقديم والصور غير الحقيقة والشاطيء مليان جراذي وسعره غالي,1,0,0,1,0,0,1,0,negative
"مخيب للأمل. . الغرف غير نظيفه, توجد رائحه في الموكيت سيئه, الأثاث مستهلك.. لا توجد اي لمسات تدل على ان الفندق بمستوى خمس نجوم.وقت الدخول الساعه العاشره ليلا لم تكن الغرفه جاهزه !الضيافه كالماء والقهوه المجانيه توضع فقط في الليله الاولى بعد ذلك لا.لن اكرر تجربتي فيه مره اخرى ابدا.",0,0,1,0,1,1,0,1,negative
جيد. .. صوت المكيف كان مرتفع بالاضافة الى عدم وجود ستائر بدورات المياه مما يسبب حرج.,0,0,0,0,1,0,1,1,negative
ضعيف جداً. . الاستقبال كان جدا سيء وتلاعب بالاسعار كان واضح وعد المصداقية,0,0,0,1,0,0,1,0,negative
“أسوأ تجربة في حياتي . لن أعود”. لا شيء ومثل هالفنادق تسيء لسمعة البلد. تسجيل الدخول كان متعب جداً وتسجيل الخروج كان مأساوي المواقف لا تصلح لدبابات وسياكلع,1,0,0,1,0,0,1,0,negative
“دون المتوسط”. هدوء المكان فقط ، طبعاً الوحدات السكنيه لكن الشاطيء ليلاً صاخب بشكل مقرف. الخدمات دون المتوسط ، النظافة دون المتوسط,0,0,0,0,1,0,1,1,negative
ضعيف. لا يوجد. النظافة وطاقم العمل للاسف لايصنف فندق 5 نجوم لم استمتع بالفندق ابدا الغرف غير نظيفة,0,0,1,0,1,0,0,1,negative
ضعيف جداً. . عدم الوضح تم حجزي بمبلغ ٨٩٧ وعند الخروج اكتشفت انه المبلغ ١٥٠٠ وكان قدومي الساعه ٦،٣٠ صباح وحدثت الاستقبال ووضح انه يبدا لك يوم جديد واكتشفت عند الخروج انه معطيني نص يوم,0,0,0,0,1,1,1,1,negative
“المستاء”. لاشي. الفندق سيء للغايه القصوي وأنصح أن يشطب من سجل بكنق الانه يسي السمعه بكننق وقد أبلغه الاداره بذالك وموضف الاستقبال وأنصح الجميع بعدم الذهاب لهذا الفندق ولا يستحق أكثر من اربعه نجوم والجدمه نجمتين فقط,0,0,0,0,1,1,1,1,negative
ضعيف جداً. من اسوء الفنادق تعاملا في دبي ... في حياتي ما مر علي اللي شفته. تعامل سيء,1,0,0,0,0,0,1,1,negative
“اسوا تجربة”. لا شىء اعجبني سيء جدا. السعر لا يناسب ابدا الخدمة المقدمة ولا يوجد مكان لصف السيارة حتى في المناطق الجاورة اسوأ تجربة في حياتي,1,0,1,1,0,0,0,0,negative
